time,x,y,theta,v,omega
0.0000,6.6180,3.0916,1.5881,0.0000,0.1250
0.0500,6.6180,3.0916,1.5944,0.0000,0.2500
0.1000,6.6180,3.0916,1.6069,0.0000,0.3750
0.1500,6.6180,3.0916,1.6256,0.0000,0.4000
0.2000,6.6180,3.0916,1.6456,0.0000,0.4000
0.2500,6.6180,3.0916,1.6656,0.0000,0.4000
0.3000,6.6180,3.0916,1.6856,0.0000,0.4000
0.3500,6.6180,3.0916,1.7056,0.0000,0.4000
0.4000,6.6180,3.0916,1.7256,0.0000,0.4000
0.4500,6.6180,3.0916,1.7456,0.0000,0.4000
0.5000,6.6180,3.0916,1.7656,0.0000,0.4000
0.5500,6.6180,3.0916,1.7856,0.0000,0.4000
0.6000,6.6180,3.0916,1.8056,0.0000,0.4000
0.6500,6.6180,3.0916,1.8256,0.0000,0.4000
0.7000,6.6180,3.0916,1.8456,0.0000,0.4000
0.7500,6.6180,3.0916,1.8656,0.0000,0.4000
0.8000,6.6180,3.0916,1.8856,0.0000,0.4000
0.8500,6.6180,3.0916,1.9056,0.0000,0.4000
0.9000,6.6180,3.0916,1.9256,0.0000,0.4000
0.9500,6.6180,3.0916,1.9456,0.0000,0.4000
1.0000,6.6180,3.0916,1.9656,0.0000,0.4000
1.0500,6.6180,3.0916,1.9856,0.0000,0.4000
1.1000,6.6180,3.0916,2.0056,0.0000,0.4000
1.1500,6.6180,3.0916,2.0256,0.0000,0.4000
1.2000,6.6180,3.0916,2.0456,0.0000,0.4000
1.2500,6.6180,3.0916,2.0656,0.0000,0.4000
1.3000,6.6180,3.0916,2.0856,0.0000,0.4000
1.3500,6.6180,3.0916,2.1056,0.0000,0.4000
1.4000,6.6180,3.0916,2.1256,0.0000,0.4000
1.4500,6.6180,3.0916,2.1456,0.0000,0.4000
1.5000,6.6180,3.0916,2.1656,0.0000,0.4000
1.5500,6.6180,3.0916,2.1856,0.0000,0.4000
1.6000,6.6180,3.0916,2.2056,0.0000,0.4000
1.6500,6.6180,3.0916,2.2256,0.0000,0.4000
1.7000,6.6180,3.0916,2.2456,0.0000,0.4000
1.7500,6.6180,3.0916,2.2656,0.0000,0.4000
1.8000,6.6180,3.0916,2.2856,0.0000,0.4000
1.8500,6.6180,3.0916,2.3056,0.0000,0.4000
1.9000,6.6180,3.0916,2.3256,0.0000,0.4000
1.9500,6.6180,3.0916,2.3456,0.0000,0.4000
2.0000,6.6180,3.0916,2.3656,0.0000,0.4000
2.0500,6.6180,3.0916,2.3856,0.0000,0.4000
2.1000,6.6180,3.0916,2.4056,0.0000,0.4000
2.1500,6.6180,3.0916,2.4256,0.0000,0.4000
2.2000,6.6180,3.0916,2.4456,0.0000,0.4000
2.2500,6.6180,3.0916,2.4656,0.0000,0.4000
2.3000,6.6180,3.0916,2.4856,0.0000,0.4000
2.3500,6.6180,3.0916,2.5056,0.0000,0.4000
2.4000,6.6180,3.0916,2.5256,0.0000,0.4000
2.4500,6.6180,3.0916,2.5456,0.0000,0.4000
2.5000,6.6180,3.0916,2.5656,0.0000,0.4000
2.5500,6.6180,3.0916,2.5856,0.0000,0.4000
2.6000,6.6180,3.0916,2.6056,0.0000,0.4000
2.6500,6.6180,3.0916,2.6256,0.0000,0.4000
2.7000,6.6180,3.0916,2.6456,0.0000,0.4000
2.7500,6.6180,3.0916,2.6656,0.0000,0.4000
2.8000,6.6180,3.0916,2.6856,0.0000,0.4000
2.8500,6.6180,3.0916,2.7056,0.0000,0.4000
